Protein IDs	Gene names	Ensembl ID	TPM.T1.BR1	TPM.T1.BR2	TPM.T1.BR3	TPM.T1.BR4	TPM.T2.BR1	TPM.T2.BR2	TPM.T2.BR3	TPM.T2.BR4	TPM.MZ.BR1	TPM.MZ.BR2	TPM.MZ.BR3	TPM.MZ.BR4	TPM.FoB.BR1	TPM.FoB.BR2	TPM.FoB.BR3	TPM.FoB.BR4	Copy.number.T1.BR1	Copy.number.T1.BR2	Copy.number.T1.BR3	Copy.number.T1.BR4	Copy.number.T2.BR1	Copy.number.T2.BR2	Copy.number.T2.BR3	Copy.number.T2.BR4	Copy.number.MZ.BR1	Copy.number.MZ.BR2	Copy.number.MZ.BR3	Copy.number.MZ.BR4	Copy.number.FoB.BR1	Copy.number.FoB.BR2	Copy.number.FoB.BR3	Copy.number.FoB.BR4
Q921W4	Cryzl1	ENSMUSG00000058240	65.990381	86.112932	68.515001	71.738687	70.689066	82.403169	53.844934	80.69919	64.044462	75.67518	70.103044	69.400644	77.427293	56.183012	84.820474	74.112604	8721.84	6551.51	8526.47	12828.8	14205.7	11213.4	20842.2	16830.5	38221.5	15918.8	47991.1	24583.3	16030.7	8703.62	23193	16090.4
Q9CZU6	Cs	ENSMUSG00000005683	137.927011	162.63801	136.52395	151.180383	164.322809	165.121912	157.627451	168.003091	136.87623	135.802576	116.969499	139.151743	157.534769	154.110696	137.941156	156.050577	233568	247641	194222	474858	296761	264112	383506	340193	649067	396096	741257	549054	288008	192478	479335	428201
Q9DBE0	Csad	ENSMUSG00000023044	11.172488	11.649009	11.94531	11.416153	17.080505	15.401074	19.188125	18.715248	12.307584	12.342021	13.139917	12.200404	18.120897	20.987774	16.97286	18.618564	0	0	0	506.622	0	0	0	187.874	486.384	0	594.848	428.5	238.179	138.651	575.521	331.513
Q91W50	Csde1	ENSMUSG00000068823	206.457056	249.743799	276.697778	265.383295	301.643427	345.883203	332.34295	313.282159	275.513971	285.441339	374.368402	286.293024	336.114679	306.493005	404.876489	285.833459	8725.79	10056.2	10232.5	21474.4	9900.53	11094.9	15334.2	10369.5	18788.4	10352.4	26485.4	14589.8	9619.24	3999.91	19211	15764.9
Q9ERK4	Cse1l	ENSMUSG00000002718	71.618639	90.652391	93.034303	93.706506	97.85618	100.428522	103.89052	86.829073	76.639986	73.972955	84.657541	79.892297	96.435449	88.41971	95.855844	89.438318	343284	303557	501614	158997	463910	382310	138298	62942.3	765357	1211580	192991	96381.5	59305.7	503926	116472	72979.2
Q8C1F4	Csgalnact2	ENSMUSG00000042042	13.750267	19.574653	13.957901	15.957511	18.492668	18.840652	20.768764	18.193603	34.118311	32.37224	29.153448	34.165926	20.809141	22.25649	21.073104	18.894271	0	0	0	156.89	122.247	0	188.31	235.63	1226.23	338.803	0	1203.3	247.618	55.5729	447.382	223.741
P41241	Csk	ENSMUSG00000032312	364.425562	466.653497	458.953516	458.072198	424.440393	440.879785	490.645532	447.940454	261.507654	220.327493	258.528497	214.190225	366.835229	389.122339	411.121027	349.351984	124206	125598	144068	268206	205836	205769	260096	212833	385973	186159	428476	281159	208853	145186	390154	261176
Q8BK63	Csnk1a1	ENSMUSG00000024576	149.833093	163.245844	162.946329	168.084634	159.140649	191.971567	186.088022	192.419382	175.671243	158.313821	165.303476	166.709131	162.673593	162.511118	185.312601	159.379343	11673.3	15293.6	17908.1	35006.6	19455.3	18241.8	29114.2	23131.8	35972.2	20459.4	47620.9	31657.2	16179.4	12229.5	43173.5	32790.5
Q8BK63-2	Csnk1a1	ENSMUSG00000024576	149.833093	163.245844	162.946329	168.084634	159.140649	191.971567	186.088022	192.419382	175.671243	158.313821	165.303476	166.709131	162.673593	162.511118	185.312601	159.379343	534.345	0	424.774	1186.37	0	0	608.024	214.187	431.314	0	899.184	0	0	0	787.402	549.11
Q9DC28	Csnk1d	ENSMUSG00000025162	95.328447	107.941301	113.402948	125.619882	118.759218	114.782182	130.001733	128.415063	114.957384	109.537553	122.099992	103.516809	114.871454	120.123788	120.576601	103.649416	3191.76	2584.3	3407.09	7380.98	2548.99	3181.77	6643.04	4837.93	7998.05	3959.92	17140.6	6627.07	4060.35	2024.93	11204.8	14239.7
